title,author,duration
1. Atomic Habits,Written by: James Clear,Length: 5 hrs and 35 mins
2. The Psychology of Money,Written by: Morgan Housel,Length: 5 hrs and 48 mins
3. Rich Dad Poor Dad,Written by: Robert T. Kiyosaki,Length: 6 hrs and 9 mins
4. Energize Your Mind,Written by: Gaur Gopal Das,Length: 10 hrs and 20 mins
5. Sapiens,Written by: Yuval Noah Harari,Length: 15 hrs and 18 mins
6. The Subtle Art of Not Giving a F*ck,Written by: Mark Manson,Length: 5 hrs and 17 mins
7. Ikigai,"Written by: Héctor García, Francesc Miralles",Length: 3 hrs and 23 mins
8. How to Talk to Anyone,Written by: Leil Lowndes,Length: 8 hrs and 59 mins
9. Dopamine Detox,Written by: Thibaut Meurisse,Length: 1 hr and 5 mins
10. Hyperfocus,Written by: Chris Bailey,Length: 6 hrs and 39 mins
11. The Hidden Hindu,Written by: Akshat Gupta,Length: 5 hrs and 36 mins
12. Can't Hurt Me,Written by: David Goggins,Length: 13 hrs and 37 mins
13. The Courage to Be Disliked ,"Written by: Fumitake Koga, Ichiro Kishimi",Length: 6 hrs and 50 mins
"14. Thinking, Fast and Slow",Written by: Daniel Kahneman,Length: 20 hrs
15. Doglapan,Written by: Ashneer Grover,Length: 6 hrs and 30 mins
16. 8 Rules of Love,Written by: Jay Shetty,Length: 10 hrs and 10 mins
17. The Almanack of Naval Ravikant,"Written by: Eric Jorgenson, Tim Ferriss",Length: 4 hrs and 53 mins
18. Chanakya Neeti,Written by: Acharya Chanakya,Length: 5 hrs and 2 mins
19. Life's Amazing Secrets,Written by: Gaur Gopal Das,Length: 6 hrs and 25 mins
20. 12 Rules for Life,Written by: Jordan B. Peterson,Length: 15 hrs and 56 mins
21. The 5 AM Club,Written by: Robin Sharma,Length: 11 hrs and 4 mins
22. The Intelligent Investor Rev Ed.,Written by: Benjamin Graham,Length: 17 hrs and 48 mins
23. The Bhagavad Gita,Written by: Eknath Easwaran,Length: 8 hrs and 54 mins
24. Zero to One,"Written by: Peter Thiel, Blake Masters",Length: 4 hrs and 50 mins
25. Start with Why,Written by: Simon Sinek,Length: 7 hrs and 18 mins
26. Master Your Emotions: A Practical Guide to Overcome Negativity and Better Manage Your Feelings,Written by: Thibaut Meurisse,Length: 3 hrs and 54 mins
27. The Immortals of Meluha,Written by: Amish Tripathi,Length: 11 hrs and 39 mins
28. 21 Lessons for the 21st Century,Written by: Yuval Noah Harari,Length: 11 hrs and 41 mins
29. The Alchemist,Written by: Paulo Coelho,Length: 4 hrs
30. Make Time,"Written by: Jake Knapp, John Zeratsky",Length: 4 hrs and 58 mins
"31. Harry Potter and the Philosopher's Stone, Book 1",Written by: J.K. Rowling,Length: 8 hrs and 25 mins
32. The Power of Your Subconscious Mind,Written by: Joseph Murphy,Length: 7 hrs and 13 mins
